gene,long_rep1_ASE_pat,long_rep1_ASE_mat,long_rep1_pat_ratio,long_rep1_longread_def,long_rep2_ASE_pat,long_rep2_ASE_mat,long_rep2_pat_ratio,long_rep2_longread_def
Gtf2h1,82,44,0.650793650793651,none,77,56,0.578947368421053,none
Gtf2h2,37,34,0.52112676056338,none,27,23,0.54,none
Gtf2h3,59,59,0.5,none,28,36,0.4375,none
Gtf2i,74,78,0.486842105263158,none,26,46,0.361111111111111,none
Gtf3a,57,78,0.422222222222222,none,37,70,0.345794392523364,none
Gtf3c3,28,36,0.4375,none,25,25,0.5,none
Gtf3c6,22,28,0.44,none,33,39,0.458333333333333,none
Gtpbp6,24,41,0.369230769230769,none,33,33,0.5,none
H2az2,137,135,0.503676470588235,none,116,120,0.491525423728814,none
Hadh,47,67,0.412280701754386,none,55,54,0.504587155963303,none
Hadha,38,44,0.463414634146341,none,49,47,0.510416666666667,none
Haus1,71,59,0.546153846153846,none,54,57,0.486486486486487,none
Haus3,30,26,0.535714285714286,none,20,28,0.416666666666667,none
Haus4,68,64,0.515151515151515,none,83,80,0.50920245398773,none
Haus6,25,36,0.409836065573771,none,22,24,0.478260869565217,none
Haus8,67,21,0.761363636363636,none,100,30,0.769230769230769,none
Hccs,0,47,0,maternal,0,43,0,maternal
Hcfc1,0,87,0,maternal,0,86,0,maternal
Hdac2,53,85,0.384057971014493,none,56,67,0.455284552845528,none
